nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,pose_score
102.1875,121.640625,106.875,116.953125,96.328125,116.953125,113.90625,114.609375,86.953125,116.953125,130.3125,145.078125,72.890625,148.59375,150.234375,181.40625,62.34375,176.71875,135.0,154.453125,85.78125,142.734375,115.078125,232.96875,82.265625,231.796875,123.28125,303.28125,68.203125,292.734375,129.140625,371.25,77.578125,338.4375,0.8393728
102.1875,121.640625,106.875,116.953125,96.328125,116.953125,113.90625,114.609375,86.953125,116.953125,130.3125,145.078125,72.890625,148.59375,150.234375,181.40625,63.515625,175.546875,133.828125,154.453125,86.953125,141.5625,115.078125,232.96875,83.4375,231.796875,123.28125,303.28125,68.203125,292.734375,129.140625,371.25,77.578125,338.4375,0.841109
102.1875,120.46875,106.875,115.78125,96.328125,115.78125,113.90625,113.4375,88.125,116.953125,131.484375,145.078125,72.890625,148.59375,149.0625,182.578125,64.6875,175.546875,133.828125,155.625,86.953125,141.5625,115.078125,234.140625,83.4375,232.96875,123.28125,303.28125,68.203125,292.734375,129.140625,371.25,78.75,338.4375,0.8368268
101.015625,120.46875,106.875,115.78125,96.328125,115.78125,112.734375,113.4375,88.125,116.953125,130.3125,146.25,71.71875,147.421875,149.0625,183.75,67.03125,175.546875,137.34375,163.828125,89.296875,141.5625,116.25,234.140625,83.4375,232.96875,123.28125,303.28125,68.203125,292.734375,129.140625,371.25,78.75,338.4375,0.8459245
102.1875,121.640625,106.875,115.78125,96.328125,115.78125,113.90625,114.609375,88.125,116.953125,130.3125,148.59375,71.71875,148.59375,146.71875,188.4375,70.546875,175.546875,135.0,163.828125,92.8125,143.90625,117.421875,234.140625,84.609375,234.140625,123.28125,303.28125,68.203125,293.90625,129.140625,371.25,77.578125,338.4375,0.84361494
103.359375,122.8125,106.875,116.953125,97.5,116.953125,112.734375,115.78125,88.125,118.125,129.140625,149.765625,70.546875,147.421875,143.203125,188.4375,75.234375,176.71875,131.484375,165.0,95.15625,145.078125,117.421875,234.140625,84.609375,234.140625,124.453125,303.28125,68.203125,295.078125,129.140625,371.25,77.578125,338.4375,0.8416918
103.359375,123.984375,106.875,118.125,97.5,116.953125,112.734375,116.953125,88.125,119.296875,129.140625,150.9375,69.375,147.421875,143.203125,194.296875,77.578125,175.546875,137.34375,172.03125,101.015625,146.25,116.25,235.3125,83.4375,235.3125,125.625,304.453125,68.203125,296.25,129.140625,371.25,78.75,338.4375,0.83075273
104.53125,125.15625,108.046875,119.296875,97.5,118.125,112.734375,118.125,86.953125,120.46875,126.796875,150.9375,68.203125,147.421875,139.6875,190.78125,78.75,177.890625,138.515625,177.890625,103.359375,147.421875,116.25,235.3125,84.609375,235.3125,125.625,306.796875,68.203125,296.25,129.140625,371.25,78.75,338.4375,0.83186066
105.703125,126.328125,109.21875,120.46875,98.671875,118.125,112.734375,119.296875,86.953125,120.46875,123.28125,153.28125,68.203125,149.765625,138.515625,190.78125,79.921875,179.0625,142.03125,181.40625,103.359375,147.421875,116.25,236.484375,83.4375,235.3125,125.625,306.796875,68.203125,297.421875,129.140625,371.25,78.75,338.4375,0.83625317
104.53125,127.5,108.046875,121.640625,98.671875,120.46875,110.390625,120.46875,85.78125,121.640625,123.28125,153.28125,67.03125,150.9375,137.34375,186.09375,79.921875,180.234375,151.40625,198.984375,103.359375,146.25,115.078125,235.3125,83.4375,235.3125,125.625,304.453125,68.203125,297.421875,129.140625,368.90625,77.578125,338.4375,0.83325285
103.359375,128.671875,106.875,122.8125,97.5,121.640625,110.390625,120.46875,85.78125,122.8125,123.28125,152.109375,67.03125,150.9375,139.6875,181.40625,78.75,181.40625,161.953125,202.5,99.84375,148.59375,115.078125,235.3125,83.4375,235.3125,125.625,304.453125,67.03125,297.421875,130.3125,366.5625,78.75,337.265625,0.85325575
102.1875,128.671875,105.703125,122.8125,96.328125,121.640625,109.21875,120.46875,84.609375,122.8125,125.625,152.109375,67.03125,152.109375,145.546875,180.234375,72.890625,183.75,171.328125,200.15625,93.984375,150.9375,115.078125,236.484375,83.4375,236.484375,125.625,303.28125,67.03125,296.25,135.0,366.5625,78.75,337.265625,0.8680405
101.015625,128.671875,104.53125,122.8125,95.15625,121.640625,110.390625,119.296875,84.609375,122.8125,126.796875,152.109375,68.203125,153.28125,153.75,177.890625,67.03125,184.921875,181.875,190.78125,89.296875,150.9375,116.25,236.484375,85.78125,236.484375,125.625,303.28125,69.375,295.078125,142.03125,366.5625,78.75,337.265625,0.86482096
