nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,pose_score
332.16467,193.97227,337.93436,186.68396,325.12222,186.49176,345.13593,187.2244,310.63504,186.26639,360.39758,216.89294,285.03323,219.49126,384.16574,272.48138,280.0607,277.50537,367.67432,244.3073,309.63107,236.6977,345.87552,325.36957,297.31052,322.98773,383.86813,401.94604,254.96051,395.5849,406.3438,471.67596,235.95149,469.1671,0.71821713
341.36807,188.69919,347.38492,181.59776,334.2435,181.1363,354.17145,181.13533,319.14005,180.2181,369.03976,211.20297,293.44104,213.92555,393.14185,264.87598,289.7072,271.84344,373.97302,236.74652,320.03174,229.86487,353.55502,320.42136,306.804,318.63214,386.5454,396.84875,266.72922,394.90048,407.8553,470.72174,241.96239,468.86517,0.71788657
350.42,181.96732,355.87433,174.76721,342.82565,174.49979,362.9215,174.21616,328.22342,174.09047,377.56512,205.5547,300.1177,207.34943,400.53845,258.14108,298.5791,265.10843,383.06155,229.27473,329.2794,224.72655,362.0071,312.68515,314.83643,310.61142,392.3046,394.428,278.1603,389.32776,409.50494,469.54785,255.8208,467.941,0.71156555
366.31625,173.2043,371.57883,165.64282,359.30368,164.89113,376.8609,165.3569,341.58063,163.08626,387.2019,195.34799,311.6745,197.20392,409.02567,247.18976,311.67273,255.17357,396.2243,220.14774,348.13358,217.97543,374.17865,301.02106,327.85587,300.49698,399.43158,385.48734,299.09573,378.7595,415.29865,467.09586,297.50375,457.63776,0.7178093
374.67844,170.91292,379.574,163.11708,366.99942,162.69746,384.63397,163.03152,348.4999,161.27055,393.23553,193.55408,318.33246,195.10535,411.39838,246.95355,317.67026,253.96672,400.38565,223.03917,355.28586,216.32088,379.1448,297.32507,333.54514,297.7551,403.86948,381.04865,307.35638,381.20584,419.37106,462.07678,317.60175,453.33832,0.71706975
382.4463,173.53546,387.11127,166.27539,374.9358,165.97754,390.17847,165.85449,355.26978,163.08263,397.89316,195.26477,323.60574,197.27301,415.7918,248.4548,322.95734,254.73259,406.9821,225.0344,361.08447,218.07135,383.83893,297.69437,340.0148,298.81985,410.0999,380.25974,316.11957,383.30917,423.6714,455.91327,335.9722,444.43057,0.7351518
394.75726,181.99895,399.64206,174.4021,387.50674,173.82646,402.2636,172.6031,369.7595,171.957,406.83093,204.19623,335.7655,207.07724,422.32217,260.2829,333.0308,263.9267,421.10376,233.80835,370.89447,230.47128,395.1156,307.39465,351.22153,309.35712,426.22214,388.41632,330.98718,394.8727,441.3732,451.2074,360.245,438.18344,0.7187248
402.77216,188.25348,407.57803,181.41112,395.02924,180.66405,409.27554,182.1034,375.34283,179.88306,411.33896,214.03853,341.1262,214.9987,428.44022,266.75854,338.03152,272.38867,427.81503,239.12097,372.93546,238.87791,400.58978,315.2889,357.58505,316.5815,433.20786,392.46002,339.54987,402.7932,446.00873,451.35608,370.82214,436.15384,0.7166167
408.07568,195.53986,412.27396,188.69069,400.4335,187.7702,413.56186,189.65036,380.80264,186.86021,416.5827,222.2878,346.2476,220.4738,431.48325,273.30246,341.57623,277.51358,433.39966,246.73004,378.64868,243.84854,405.56097,321.3674,362.388,323.52112,438.37082,395.42172,346.95175,410.0698,444.81955,453.4112,378.20798,438.29117,0.7250555
410.15015,199.74922,415.133,192.75401,403.58557,191.95692,417.66434,194.3186,384.15155,190.81502,417.2264,227.32242,349.44772,224.46227,434.03287,275.4768,345.21664,281.57608,437.75803,248.06606,382.64972,243.40115,407.06488,323.6819,364.3961,327.59006,440.53546,395.77625,354.00983,415.08783,445.8443,454.9544,382.5704,441.04926,0.7294413
