nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,pose_score
377.5352,154.34216,383.1936,146.34915,369.03656,144.88,388.7935,151.05046,349.298,145.85052,397.33752,191.65312,313.6552,181.58336,425.62317,251.11697,306.89157,239.95023,421.9985,214.89246,356.0855,195.83873,371.6405,311.16226,321.28525,307.02795,379.03903,410.35355,303.01315,401.6854,375.2769,503.27322,327.62872,482.13144,0.7193629
382.53625,152.87549,388.37927,144.9251,374.01672,143.29932,394.88757,149.4643,354.97525,143.5932,401.9552,190.29578,319.72864,177.92705,430.70786,250.26256,312.55588,237.33156,425.35925,217.7359,362.39267,194.61198,379.1841,309.10544,329.49698,305.0956,388.18454,408.19482,313.28778,402.4029,387.07718,500.98547,342.84665,480.99042,0.71646756
389.2946,154.03992,394.99683,146.35965,380.96127,145.0486,399.12573,149.30978,361.5523,145.18613,408.7435,187.57307,325.5579,179.00388,432.0431,251.44786,318.6694,239.13054,430.92853,219.67322,368.13562,196.80812,387.05008,308.7862,337.88336,306.07663,399.29852,408.2501,323.39575,404.18954,402.52722,502.55237,354.50092,479.86606,0.7204251
402.18387,163.6027,408.4409,156.12529,394.60385,154.51917,413.95477,158.58424,375.00848,153.54675,422.27298,197.10669,338.00406,190.07156,440.4041,262.99768,333.2103,252.18958,444.44748,235.23976,381.9797,207.38666,404.17767,319.3157,354.424,319.4553,431.2984,419.01053,336.5335,417.319,449.85733,511.24115,364.37802,492.8912,0.72000194
407.43353,170.93202,413.9747,163.6472,399.64563,161.96106,418.73138,165.90384,380.05902,162.24565,429.69693,204.41246,343.77075,199.40724,447.66296,271.0679,341.8763,262.32684,449.23126,245.44165,388.24197,217.03294,412.09326,328.83292,362.16772,327.99408,447.70706,424.6374,340.9209,422.5947,476.38596,518.14655,365.97562,498.46097,0.7145717
414.57635,179.40019,421.30597,171.43724,406.31348,169.58185,427.3113,174.44266,386.50604,170.45958,437.63855,214.69136,350.9984,209.7294,457.0826,280.94955,349.56296,272.77896,458.58414,252.60333,395.93933,228.17314,420.80588,337.2995,368.83722,336.6087,462.7217,428.87262,344.2427,428.43994,503.23053,524.76953,368.26172,501.6883,0.7125983
431.36874,188.1314,437.94287,180.0501,423.55432,178.91476,443.91388,184.30539,405.09018,181.35568,457.42203,222.90291,370.97546,222.79453,481.70898,291.02844,371.71286,287.59973,476.81616,259.89398,413.33633,242.82507,441.9997,345.52023,388.7766,344.03403,491.46213,436.42065,351.0889,432.84412,537.0346,524.0981,368.61,501.85156,0.7117601
441.25995,188.1542,447.80087,180.75938,433.4994,179.32309,454.032,185.45667,415.65808,182.08467,468.56046,225.04753,382.9879,225.27423,496.6874,289.80966,383.4513,290.1012,484.67908,253.69159,421.07074,242.82756,455.25385,346.74426,401.91953,345.18677,501.06393,436.12335,362.72855,432.3037,537.71106,526.98944,370.4348,502.30276,0.7133263
441.44977,188.23907,448.03488,180.85582,433.69833,179.33862,454.26318,185.57025,415.79465,182.10014,468.6696,225.15915,383.02042,225.26636,496.66776,289.79794,383.47525,290.09662,484.5957,253.64694,421.03412,242.85219,455.22092,346.7411,401.91025,345.19336,501.06485,436.2207,362.74213,432.2513,537.76434,526.89923,370.42917,502.3678,0.7133815
459.01166,178.3533,466.5534,170.20496,450.459,169.12453,475.2041,175.43202,432.92398,173.54805,494.1976,214.82594,404.8762,217.88951,525.30493,277.10934,405.10107,282.80756,503.09167,229.38625,438.22632,230.18475,480.91162,341.42166,427.02542,339.4789,515.69507,438.16864,393.77704,427.84225,539.57544,530.4735,379.97757,504.38412,0.71267664
