nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,pose_score
457.49542,133.74156,463.42593,122.74477,446.10245,121.78732,466.4922,127.3048,419.7573,125.60394,483.3886,179.20335,375.51266,185.93071,520.91223,266.97968,375.45703,277.4149,508.9904,216.03188,414.21637,220.07579,477.68127,343.4147,413.95535,346.011,522.23035,453.4705,395.28067,464.4795,541.162,550.52704,369.34918,547.52344,0.71005523
458.79572,134.3797,463.94223,123.1414,447.58978,122.05678,466.95343,128.2935,420.54736,126.251274,483.54947,178.94666,375.44205,185.24521,520.85126,267.23657,375.34518,277.18542,508.7812,215.98795,414.20908,219.73997,477.08606,344.1714,414.0274,346.4053,522.4704,454.18695,395.26077,465.47665,541.3469,549.6503,369.20972,546.8866,0.71184474
458.42923,134.95422,464.20743,123.784706,447.41843,122.631836,467.88306,128.95866,420.6962,127.028114,485.51935,179.22948,377.09772,185.61597,525.40735,267.4975,375.50763,277.33005,512.0212,211.29848,413.34024,220.10562,477.7107,344.50394,414.92538,346.7697,519.6196,455.39117,395.1741,466.26544,539.5475,547.4634,369.25067,548.21893,0.7110853
464.2954,136.2241,469.47165,124.83683,452.6075,124.25981,472.91306,129.89754,425.50754,129.34895,491.5939,180.45726,382.39673,187.64844,533.1581,268.55264,378.9686,279.80994,515.69183,209.85362,415.43817,221.28604,481.35907,349.59305,417.76242,351.19424,519.6434,465.08356,396.56158,471.37164,542.59644,552.45496,369.8733,550.325,0.7127805
473.31113,136.85991,479.25714,125.39594,462.01602,124.89098,482.0663,132.02641,433.65598,129.74193,496.3838,186.14153,389.1551,191.53406,538.6082,271.6881,384.99164,284.45224,522.5307,209.71004,420.25525,228.30478,484.8289,350.3667,420.14893,351.8731,527.0498,462.55344,398.67908,471.59567,544.6091,555.3628,370.29996,553.30365,0.709848
478.99496,137.79991,484.1146,126.341225,467.80478,125.47999,485.2339,132.63739,438.81232,131.28323,499.82925,186.47157,392.4976,191.74048,540.27985,273.2138,390.0655,285.65448,526.3488,209.7997,423.1509,232.10725,487.04422,350.74783,423.116,352.03528,529.26294,461.5326,401.40778,469.32016,545.9832,552.27185,370.6294,551.9904,0.7126319
486.1433,138.85797,491.0784,127.66023,475.31586,126.58103,491.03058,134.0146,445.1774,132.23041,503.87143,188.68938,396.75986,193.38858,541.5649,275.1905,394.59348,288.2177,529.8687,209.57796,427.5449,233.1298,490.29434,353.0955,426.74573,354.6483,535.0251,463.60962,402.18167,471.3003,547.5014,555.6422,370.82993,552.69775,0.71582454
491.6893,141.42935,496.39832,130.27713,480.9895,129.01404,498.25818,137.0037,450.80676,133.58849,507.88586,190.58661,402.2052,195.02223,542.65814,276.01782,399.18713,290.16577,534.1058,209.9472,433.2501,233.76154,492.90768,354.18546,430.2862,355.9809,540.02875,464.23816,403.24362,474.60992,549.6207,555.03845,372.47858,551.6496,0.7139659
504.78064,144.49191,509.00293,133.82297,494.66428,131.84846,508.10513,141.70616,463.44617,136.35051,517.08044,195.84464,411.79736,198.1423,548.8708,281.0653,408.47467,293.48358,543.9834,211.62114,446.78534,238.3789,500.13614,357.29657,440.27188,359.49347,548.64624,466.43808,411.4696,478.11465,551.9325,555.89355,374.2788,551.47925,0.7129035
509.55246,146.69608,514.19543,136.55232,498.55707,133.88774,514.019,144.64355,469.32593,138.80963,521.546,199.70708,416.6205,200.2287,551.4733,283.44373,414.32025,294.9129,550.34155,215.82365,455.66275,240.31442,504.4368,359.77997,443.6369,361.38977,552.07117,468.82312,417.05884,482.79276,553.253,555.6163,377.33704,550.27484,0.70807445
