nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,pose_score
349.07687,142.59831,358.22015,132.33119,338.71915,132.32904,378.1915,118.78461,325.13376,121.14349,414.94342,154.65884,308.78177,147.26553,412.0908,244.2689,304.6463,223.08954,393.51587,187.92653,326.16946,257.5763,386.77307,283.93582,336.43457,280.50598,379.39905,411.32074,309.00534,380.0468,398.9069,510.64865,336.99612,440.9952,0.7123332
349.213,142.52238,358.45413,132.29092,339.00735,132.24042,378.29404,118.7326,325.23294,121.02768,414.93652,154.51091,308.81744,147.3194,412.11966,244.28885,304.7391,222.90952,393.509,187.84947,325.7552,257.11237,386.68887,284.2089,336.36984,280.75082,379.38696,411.45642,309.0975,380.16928,398.93814,510.62054,336.9902,440.87738,0.71182543
349.23727,147.7771,358.5821,136.1889,338.68488,135.64938,380.31015,119.30997,325.9331,120.9805,416.10303,156.39224,309.22372,154.27664,414.44818,244.23929,310.75034,231.18495,396.6139,190.7594,340.1308,290.22537,386.04153,284.22696,334.08972,280.99557,378.38516,409.97958,307.94553,379.8621,399.57053,509.38052,336.67062,440.61194,0.71583366
349.42084,149.48946,358.72226,137.71996,338.52347,137.49863,380.12744,120.9668,325.9009,123.17757,416.58066,157.03793,308.85388,157.88799,416.28476,244.59222,314.4978,236.12303,397.77023,192.57101,344.7992,300.5229,385.82574,286.21124,333.3803,283.06876,377.3621,410.51373,306.7623,380.48325,399.05948,509.46518,336.89197,441.1872,0.71930003
349.57968,152.44324,359.02213,140.61566,338.8734,140.40532,381.02917,123.37382,325.84042,125.03855,417.39926,158.6789,308.72675,163.47415,417.85803,246.78355,319.6697,246.53285,399.46725,197.71481,350.38977,313.14584,386.25238,287.5137,333.64294,285.1065,375.48236,411.15344,305.75726,381.21216,399.2345,509.94305,337.03635,441.79752,0.73110384
350.01987,153.70592,359.22543,141.98032,339.28107,141.7346,381.02402,124.95385,326.04437,126.415,418.25522,159.64697,308.85718,163.94237,418.40005,247.375,317.43933,244.71274,400.3251,200.06982,347.1554,312.49985,386.50525,288.36313,333.6679,285.91403,374.72455,410.3789,306.42276,382.37402,399.05862,510.1064,337.09253,441.9682,0.7303027
349.98557,154.44809,359.23,142.1557,339.39758,143.33478,378.7414,122.90426,326.73306,126.51935,419.24985,162.04099,309.90598,162.73747,419.36377,247.88414,313.3992,243.92648,401.42764,201.51936,343.49527,310.83423,386.63284,289.51926,333.66705,286.43393,374.47327,410.548,308.04208,383.00012,399.12048,509.5659,337.24753,441.95764,0.7427736
348.71875,155.06548,357.80106,143.61427,338.23474,143.32599,380.36484,126.37276,326.3402,127.78192,419.73428,160.64412,312.46475,159.86201,420.98294,246.89308,308.66592,236.306,400.32565,202.26186,331.04462,304.82986,388.76718,288.54602,337.5872,284.37598,375.93295,410.2764,310.32867,381.8888,399.1812,509.78226,337.50687,442.17096,0.7386654
348.53024,153.766,358.00754,142.42682,338.7239,143.22437,378.32892,123.524315,326.30383,127.43331,420.96957,161.07843,312.41055,156.54248,422.04184,248.02548,307.3711,235.02623,401.20636,202.3292,324.34042,299.9738,390.32556,287.76065,338.72812,284.49097,376.65485,408.62433,312.58853,381.0547,399.59927,510.02655,337.8864,442.04794,0.76855785
347.07227,152.8786,356.67618,141.79128,337.81274,142.20773,378.12415,123.07132,326.21487,125.91099,421.66046,160.68144,313.40607,154.15947,422.93924,247.2339,306.85425,226.9307,401.40588,202.50162,317.9278,293.8684,391.49625,287.02176,339.7947,283.3456,378.18445,408.9805,314.9222,379.7894,399.75595,509.99646,337.85696,442.2264,0.77552605
346.4373,152.46783,356.31006,141.8521,337.61804,141.86192,377.95633,123.24231,326.03635,124.99144,422.45566,160.44777,313.85925,152.06595,424.52267,247.24486,306.66705,225.1646,401.1053,202.17218,310.90643,287.1882,392.95477,287.59442,340.9197,283.80508,379.40076,410.30807,317.6477,379.86987,399.7505,510.19666,338.5382,442.45825,0.7775899
346.23685,152.32515,355.67523,141.61938,336.93237,141.86458,377.9401,121.82446,326.07727,124.46415,423.6049,159.91614,314.77243,149.85237,425.86337,246.95305,305.90213,219.39868,400.4378,201.64459,307.49554,282.93173,393.8036,287.86096,341.68243,283.48315,380.6695,411.3326,319.96835,379.71762,399.86456,510.45883,338.65945,442.50565,0.7537872
346.07382,152.96877,354.8082,142.46915,337.30145,142.57983,377.06378,121.78732,327.45303,124.90401,425.71878,159.66908,316.3941,147.30411,427.67676,247.23091,306.1507,214.22578,399.885,201.74234,299.90128,277.93976,395.70776,287.1664,344.4543,282.34164,382.08917,412.7702,323.9811,379.65912,400.0774,510.56674,339.11484,443.04266,0.7312456
346.27377,153.07474,354.4666,143.65022,337.299,143.47911,378.0209,125.32073,327.25296,127.74903,426.8047,159.20758,317.8579,145.94516,428.54276,248.44089,306.4831,212.76633,398.56717,202.52803,299.33228,276.54404,396.44003,287.78656,345.95917,282.7023,382.86084,413.79382,325.3263,380.1409,399.97455,510.97147,339.6197,443.51236,0.73014754
