nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,pose_score
350.0364,206.85612,357.4319,197.54515,341.86743,196.25009,375.2579,193.58969,334.92624,193.04341,414.0636,218.92348,331.66736,212.01256,427.38297,289.60043,334.5692,275.76324,372.9955,275.88776,325.8664,266.33398,424.8124,306.75598,376.5418,304.65637,438.0342,385.9918,312.93362,373.5045,471.86624,493.82782,345.18665,412.71185,0.70587397
361.90967,217.70715,369.4889,208.53749,354.5712,207.03731,386.96613,200.01355,345.53027,200.73126,422.8998,225.30528,334.69177,223.35927,438.85156,293.13815,341.5857,288.87183,391.02017,285.6167,337.69388,280.07016,428.22165,314.60196,377.07547,313.69614,438.2371,388.1734,312.6274,381.25482,474.29663,501.91837,345.10028,410.84583,0.7058794
374.71326,221.84929,381.5273,212.47008,366.69537,212.04518,395.52127,204.15546,357.81372,207.10274,434.1817,228.45772,338.71933,232.48535,451.55927,293.92786,343.722,290.31915,406.73972,288.71765,359.46674,289.9307,429.83252,319.13562,376.85416,319.33163,442.66064,393.90347,313.2092,388.25732,476.27078,503.81174,343.3234,409.75272,0.70358133
391.45746,226.14139,399.1158,216.71954,382.34952,216.9987,411.7482,205.93727,369.5457,211.7817,445.0933,226.74138,344.74423,237.98407,459.25226,295.0072,353.65067,298.30408,420.45013,287.35965,368.81143,305.33792,430.03577,325.394,374.51587,326.8403,446.09073,398.3691,314.8371,396.6286,475.1615,506.5906,342.85126,408.47726,0.698781
420.23795,222.95798,428.3302,214.72192,412.80368,214.13431,441.04285,209.55708,398.66113,210.793,460.79227,230.33896,370.9692,237.32033,469.28955,295.16815,375.60712,305.40027,446.4528,269.45102,407.2518,283.08902,431.93677,326.67957,377.35284,327.18274,454.72437,408.93396,331.97974,405.31546,475.4978,504.85968,322.91602,413.8907,0.70155746
434.12244,216.19325,443.0237,207.60016,427.94232,204.8476,452.94363,206.078,412.97177,201.057,462.98676,233.94508,377.686,229.53479,471.48145,295.63324,390.6174,296.94348,463.43912,253.86877,425.18472,270.94223,431.88318,324.62332,378.85367,323.32532,456.3121,407.21664,339.09406,398.30914,476.03885,502.93216,322.84305,417.37927,0.70325875
451.0709,211.3636,458.22076,202.92448,444.60928,199.97952,463.5343,201.31322,426.11765,194.64438,466.9226,232.17896,386.5648,218.6211,473.423,294.06265,389.71887,277.2828,473.34906,261.19437,430.96497,247.28558,432.49377,322.70178,378.88895,318.75943,457.57965,412.51013,340.55954,391.8306,475.62738,504.19415,323.85837,417.98254,0.703826
462.6682,203.24396,469.47495,194.90659,457.048,192.39899,473.53198,189.34854,438.6742,184.94164,480.81857,219.2807,393.17346,206.31667,475.60004,291.2963,395.6924,271.9207,476.25092,264.42395,435.84875,241.80975,433.41364,318.2428,379.1624,312.0458,453.13345,410.42334,338.13687,385.46884,474.5358,503.005,328.69052,413.51022,0.69946426
464.9368,196.71263,473.17288,190.55336,461.0518,185.13138,480.54486,184.40878,444.52277,173.02269,486.973,222.01898,396.71683,192.66582,479.80673,288.27512,385.49548,258.84146,477.64813,261.23492,434.8139,247.36157,432.77563,314.8215,379.80997,304.6348,447.0948,411.34183,327.65524,392.31018,474.20474,503.48083,341.04306,407.3723,0.70009136
458.99707,169.85994,470.60477,166.44241,456.65244,157.2998,483.24203,172.98546,445.70358,150.7106,494.53833,222.4698,413.64383,165.85677,491.27478,275.97894,361.0956,212.07404,477.0923,291.94946,392.26093,176.09615,430.3818,310.23022,381.71555,290.5055,430.10754,420.06018,319.84448,379.00262,473.89893,504.58618,341.87155,427.31863,0.7054876
451.9777,155.41669,466.91656,153.81099,452.2131,142.1456,485.1226,167.06752,444.05103,138.10013,494.1952,219.79868,422.91425,158.06558,491.13782,289.88824,361.6317,194.67964,462.94574,294.55362,406.10367,154.12128,428.92746,307.076,384.45984,284.32895,424.2197,422.10266,317.17374,372.20575,473.65472,503.60574,340.26898,438.49884,0.71244365
449.83432,148.48874,464.9408,146.67203,450.33078,135.86252,484.38287,162.13002,442.9843,134.69403,493.66156,216.8295,427.78735,159.42422,475.7922,297.4441,370.0487,187.69275,445.00363,264.0979,410.6171,141.02455,429.96872,304.6641,387.64865,281.22952,420.8577,425.01492,315.52274,368.64548,473.44107,503.11996,335.6423,446.48227,0.720204
447.5941,144.02847,462.12653,140.81467,447.1093,133.96204,483.82214,157.56963,441.63544,138.25378,488.18585,214.0116,430.38745,162.21826,448.89462,275.4624,376.42242,187.33383,437.03006,184.82639,413.6783,138.18027,429.52914,305.917,387.3598,283.79495,421.02466,427.792,315.6227,370.38123,473.0745,502.27863,334.82437,448.93753,0.7419288
441.53537,144.96684,454.55377,139.57245,442.18372,135.08087,481.42764,155.72603,443.3208,143.63028,488.6573,212.44023,430.2783,169.00157,448.19525,275.92386,379.1599,190.70593,436.30582,187.54419,417.32565,140.38867,431.13605,305.11752,388.09476,284.48068,423.4796,425.5728,316.94257,372.47278,473.93594,503.372,334.99396,445.31235,0.70750874
445.8166,138.19887,457.123,132.95956,445.6368,129.12541,482.42548,146.92436,446.12866,136.85103,497.8736,197.03767,430.09302,163.13986,463.60394,247.09184,376.17416,197.76794,447.6162,167.72597,411.05035,143.62827,435.04453,306.25497,388.3849,286.98807,430.38028,425.96408,317.61423,373.34305,475.1149,504.95917,331.57123,437.97433,0.70625603
447.89163,149.11243,461.3575,142.31612,444.9488,138.77058,486.65598,153.16833,439.39804,143.17894,502.60883,198.05894,426.5589,163.45375,469.84323,264.03726,373.07193,203.75851,454.20126,185.25569,405.64386,149.09981,436.83832,305.43073,388.313,286.94937,437.77057,426.44583,319.17908,375.01562,476.2488,504.97595,333.79794,437.99097,0.7112245
455.25726,152.7658,467.24124,146.20813,450.59348,141.90927,487.27524,154.90422,441.53055,143.52112,502.07956,197.84373,419.98706,168.63022,483.6827,279.77402,371.25473,211.92004,470.25803,233.14229,400.03442,168.66006,439.13766,300.3983,389.89374,282.90164,442.40076,420.968,321.50467,376.77512,476.34982,504.305,337.8534,438.10388,0.70448005
462.2729,159.16045,474.89618,152.76103,457.42487,146.87209,493.05515,159.30034,445.19525,144.0666,505.15482,198.89091,413.26395,165.50288,489.16837,282.9653,372.44867,228.80237,476.04587,231.00583,390.94547,184.12361,440.66925,299.80405,389.03842,284.36417,447.20947,417.85764,323.39923,379.88327,476.0803,503.70047,341.96625,438.4053,0.70466036
464.79745,172.2281,478.227,166.13435,459.43463,159.92728,499.89996,165.60432,449.19342,149.67227,505.07263,198.30646,419.5195,174.12622,488.5574,282.3809,387.6975,220.2174,485.07727,215.75644,408.92844,215.75497,439.1854,301.29227,385.70364,289.84158,450.23752,414.50436,326.1444,390.88376,476.5204,507.5702,344.9018,439.41034,0.68690205
470.84808,189.18921,479.8435,181.7766,465.50058,176.95212,488.09824,176.84608,446.1899,165.09073,489.01294,202.91414,400.38577,186.50604,489.99915,275.9694,403.83594,265.58258,496.99677,222.00288,448.71466,219.71217,438.5018,305.5784,380.33627,297.59247,459.04965,410.86392,334.66937,409.01382,476.6369,504.59998,342.56668,447.90485,0.70872253
463.63263,189.43224,471.7746,181.45488,457.30142,178.20851,480.00766,175.55,438.5893,169.31635,484.72562,204.68387,395.9107,188.6506,496.75903,273.6334,391.7,265.75305,498.56454,227.24849,441.59793,219.9254,437.9303,307.24097,379.06073,301.0998,460.57507,412.82452,336.54385,409.8704,476.7013,504.59537,340.9642,449.44727,0.7025386
462.76978,176.21463,467.26776,167.80257,456.0335,164.91107,466.77167,162.89467,438.9032,160.09833,477.83786,196.05237,389.99268,186.87318,507.58368,263.58856,381.95938,248.46436,496.67273,212.66026,410.8559,267.4923,436.7823,309.99814,379.17914,303.71115,459.80276,415.19763,336.72534,408.66473,476.18512,507.3446,341.20084,449.33438,0.6862473
445.3576,166.91011,452.03433,158.18823,438.07837,155.47012,458.37384,158.26344,421.47424,153.30705,474.14935,191.16573,378.98624,181.24295,518.5177,247.44171,362.1357,255.46266,493.03635,211.24313,373.7159,229.15317,436.69818,305.6928,381.06464,300.6544,455.77905,414.9398,336.65463,404.17566,475.93323,500.72684,342.82675,451.11667,0.6991234
419.96072,158.41408,429.17776,149.84918,412.27087,146.72952,441.57468,147.7719,399.40533,143.63565,471.45242,185.28874,371.26398,173.75604,525.8104,231.75684,342.7173,241.76875,524.74365,224.97826,357.3054,200.40842,437.8037,302.36288,384.59317,296.05295,449.90594,417.38043,335.97995,396.08218,478.54776,498.1816,342.7013,450.11823,0.7014488
383.02435,150.05086,391.49402,139.45015,375.20255,139.62355,413.84927,136.99388,369.82538,138.48317,459.8951,162.9835,367.23453,168.47441,519.50433,192.16307,328.86545,223.64899,533.70544,197.79301,335.43405,166.54724,440.03552,294.97607,392.21487,288.19348,432.33075,419.9445,341.1866,381.05844,490.06665,497.30286,344.36493,447.49673,0.7060733
377.499,145.05074,386.66928,135.30315,370.08405,134.75386,406.60522,132.85918,363.5694,133.64252,440.76135,159.22694,369.59592,162.28394,504.74887,166.6477,335.95563,219.99269,515.79126,176.20764,335.71793,161.40053,441.1548,291.08444,394.49768,285.11908,423.82748,421.84528,344.76685,382.57858,491.59595,499.1975,345.30157,446.9971,0.7063487
373.07214,140.25395,380.94,131.23358,368.0934,132.1911,402.03284,129.94162,366.25,135.65881,441.49414,153.06451,373.13788,170.05772,493.08237,152.98839,343.58585,218.6188,424.7769,153.7972,338.89078,160.63243,442.59036,295.4743,395.6926,288.49008,420.60562,421.5516,347.76785,382.6007,492.57608,499.462,346.5364,447.5427,0.7048228
367.27,139.1315,374.30295,128.88857,362.36234,130.93265,398.4972,125.35827,363.0874,133.34964,436.02176,153.70752,377.76822,171.1843,426.84854,146.47275,347.7494,217.7507,353.73627,139.89934,342.89856,156.136,443.29782,296.4938,398.19357,288.8941,420.33304,421.6285,350.667,379.70056,491.17017,498.78754,347.42664,447.85464,0.70784956
367.60974,138.8331,373.5823,128.89166,362.77502,131.07114,396.35355,125.18854,364.95505,133.99086,431.96603,148.8588,377.86328,171.0179,393.7992,151.2573,347.47482,218.31232,329.93375,140.36488,342.96777,156.91905,443.60858,296.852,398.53998,290.76132,423.08752,422.6446,351.6826,378.9905,489.90695,499.25574,347.37512,447.42368,0.70805067
356.15216,137.9819,363.92703,128.3508,353.64615,128.76193,395.83902,124.70026,354.69885,127.9054,430.92578,149.6903,373.31488,170.3097,442.46494,178.90889,340.66617,219.19444,347.52194,155.87119,334.14767,164.16296,441.8091,294.93292,396.0319,289.76053,432.9017,421.30286,350.87674,378.67123,486.27975,500.3166,347.70364,447.5669,0.73407716
360.49887,136.27634,368.77426,126.72906,356.432,127.225945,396.20987,123.596535,354.88116,126.52151,433.44034,149.6034,369.6192,164.48425,448.8786,189.98459,336.26202,220.09616,374.19595,161.85487,331.66473,158.70186,440.62253,293.7407,392.7506,288.76636,438.41083,420.00583,347.71722,381.5413,482.04922,502.23975,347.3879,448.27795,0.7234915
367.38797,134.97658,376.7109,125.11312,361.09338,125.43412,400.20477,122.04128,357.1754,125.69023,440.88632,150.89641,363.0689,163.78601,473.97424,204.15321,330.41217,222.1912,411.26572,166.33443,330.36505,162.18478,438.28705,294.92065,387.34656,290.5009,444.6329,420.16446,345.4383,383.92404,478.48856,502.57913,346.78046,447.39056,0.709716
375.43756,134.85388,385.70694,124.64949,368.58252,124.84432,410.56244,123.24703,361.32855,125.39735,448.31308,155.9963,359.57907,159.4534,490.70016,214.26196,325.805,224.39873,446.78436,166.40428,335.15457,161.43584,435.4378,293.78787,383.1,288.57114,449.81158,418.79498,343.297,385.8501,476.82343,504.2627,345.79132,448.11673,0.7134824
386.47177,136.19005,396.68613,125.07153,379.2393,125.5763,420.56076,123.000465,369.21982,125.79504,452.04636,162.29771,361.92615,163.3602,500.78497,225.2635,325.77518,226.0721,462.07806,174.95099,342.96085,163.48883,432.0523,295.7279,378.2744,290.5382,453.24643,418.04547,341.08475,390.90448,476.56372,505.26825,345.35602,447.73404,0.7117602
