nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,pose_score
459.49554,85.345436,462.15662,74.122025,458.8222,74.44531,451.82852,78.753876,501.12708,73.38525,429.1423,129.08783,555.7398,128.09692,392.13882,228.56798,559.2361,212.9418,437.1365,194.59167,500.55307,198.35487,462.12006,298.86743,543.4097,299.33386,409.39825,444.10135,574.2005,462.59058,383.956,550.6918,573.4427,565.2574,0.6100099
458.86014,77.052895,460.97095,65.14525,457.10703,67.05189,459.46396,66.633865,507.68143,62.99029,439.98856,114.236084,566.31415,115.61848,402.9669,213.86345,566.66455,199.65543,441.8701,171.9833,507.71396,182.75534,479.01727,285.72516,562.12866,285.8312,435.84393,440.43265,584.8014,448.30652,431.17624,553.61334,587.2821,563.16406,0.6260197
476.10892,61.196217,475.90524,50.591557,475.216,51.72831,472.75275,51.20131,520.58594,47.55572,459.49118,98.74754,579.305,99.44054,418.83655,202.35437,582.26935,182.6155,415.04453,144.00252,520.4807,161.10265,515.648,272.41086,589.4694,267.64346,483.6472,443.61154,616.70874,439.46994,502.69272,564.0492,634.7398,560.9691,0.6180794
476.78622,60.877148,476.57797,50.227577,475.97394,51.412994,473.16394,51.200848,521.0823,47.711113,459.50824,98.769745,579.24066,99.473,419.031,202.4399,582.378,182.62538,414.76288,144.16113,520.79974,161.10083,515.67926,272.39368,589.5246,267.61652,483.72498,444.38577,616.7635,439.5328,502.6109,564.16113,634.67914,560.993,0.6170125
479.53482,64.97171,479.58072,53.255665,478.81967,54.337456,481.63248,53.990696,525.25653,49.91263,465.89682,101.17129,585.1249,100.448784,425.82797,204.77312,592.9268,187.4755,447.61856,142.44427,534.8478,171.15437,525.8871,271.30252,599.9396,265.72684,508.73505,452.69833,634.5399,435.7928,524.95703,567.7545,666.6022,554.25195,0.6050393
494.17624,89.649055,493.8826,79.3658,492.14618,80.087654,495.6824,78.867615,545.5623,72.191765,487.3214,126.93865,596.72784,124.179,441.4432,228.39444,605.7338,207.46663,459.29523,162.18251,543.142,183.3483,556.2612,301.5622,626.5032,293.4339,534.376,482.6142,671.0251,444.9433,536.99475,565.1017,729.08984,553.51373,0.59191346
506.559,97.321915,506.93427,86.270706,504.7189,86.795334,509.48068,87.43211,558.55334,81.77985,501.18176,137.74084,601.5329,133.45029,458.6156,240.97546,606.33124,217.25792,464.75525,173.53813,543.6134,192.19843,573.22125,313.80225,643.1538,304.3312,540.291,497.70093,691.95544,454.9047,544.7061,565.5289,751.3535,555.11615,0.58881587
507.09512,96.90908,507.48972,85.87039,505.27774,86.27351,509.45374,87.16934,558.7377,81.287285,500.98697,137.78984,601.3832,133.31465,458.598,241.01247,606.3343,217.01982,464.7737,173.48293,543.495,191.86351,573.28796,313.67667,643.15045,304.16052,540.3582,497.45926,691.8515,454.6318,544.56024,565.72675,751.2405,555.26245,0.5892825
514.1017,105.3856,515.2434,94.28111,513.33154,94.817665,522.0848,93.66889,567.15845,87.57607,517.2025,140.68532,612.3909,137.16866,478.82272,241.62975,619.4371,217.5315,487.86813,172.5174,559.43994,193.98798,583.8285,314.6831,652.9692,304.98926,545.0147,492.9827,704.2677,454.67316,546.92737,567.0743,764.5445,557.26917,0.59474456
531.3966,105.52636,531.994,94.747345,531.54,95.23411,538.7808,94.96344,581.28467,89.075035,531.6802,142.11311,635.96765,140.28943,499.6991,242.34608,640.5962,223.01991,511.40536,178.21085,583.0536,204.37805,597.40106,312.6631,667.64014,306.36545,554.0001,485.0828,717.3293,453.86008,552.6852,565.33246,768.02234,557.8388,0.6037819
576.97345,99.67439,577.2163,88.567825,577.81384,90.31869,582.523,89.60974,628.45953,87.7599,567.3075,139.72104,678.6963,139.45822,540.51526,236.26407,667.81836,217.36397,523.7097,180.35712,602.6203,184.96425,624.3947,308.10907,692.68005,303.29535,563.62885,466.28952,731.78326,449.32248,564.28687,563.63916,776.51935,556.5637,0.6194619
576.87274,99.6586,577.1136,88.42362,577.80963,90.24793,582.55963,89.43565,628.45197,87.5308,567.3726,139.66263,678.7425,139.45654,540.58093,236.32228,668.08374,217.54301,523.61835,180.39595,603.07367,185.22157,624.6069,308.10376,692.7358,303.29068,563.66705,466.2789,731.79254,449.41345,564.30035,563.7033,776.5665,556.5756,0.6197426
594.9361,103.34403,595.0755,91.53862,596.22766,92.45934,606.69916,91.21357,648.03064,90.5763,593.40576,137.23457,691.95685,139.799,559.5591,229.91664,686.91516,222.52794,533.8925,195.22337,636.2063,207.09909,635.89453,304.8688,701.8645,302.44598,565.7345,456.35083,741.62335,448.49127,570.2755,560.90125,776.7009,555.95935,0.63810617
609.1678,106.125496,610.27045,93.72169,608.7268,96.51293,623.4439,91.12191,662.1155,93.05206,611.5233,131.49881,700.3154,137.29045,584.6659,222.94162,689.7742,217.86841,550.7102,206.064,635.8934,210.42548,642.7774,299.61313,710.2226,300.52933,566.6641,445.9557,742.83545,447.55417,580.2809,557.1889,779.24585,557.679,0.6529251
619.72095,101.063805,621.484,88.92623,619.79297,92.526054,633.97675,87.18769,672.817,90.830185,620.9176,126.77975,712.20404,138.29417,607.2895,209.22672,702.50037,216.21046,567.19806,207.55591,644.0603,211.97305,648.3579,292.1595,715.03925,294.3874,569.46454,436.18094,741.8327,442.86804,590.5311,559.52954,778.60657,556.81146,0.66224974
622.4857,99.47748,623.9841,87.34951,622.27515,91.375046,638.6809,84.4364,676.0274,89.30644,627.76654,120.03028,714.96564,133.41594,617.2759,198.95557,708.0757,210.40198,577.345,199.51633,654.0889,209.96916,654.209,283.83194,717.85016,287.2408,576.8208,428.13132,739.2726,436.86267,591.8538,555.74023,778.0399,554.7916,0.6665525
621.4523,100.93931,622.9018,88.59699,620.80096,92.4579,640.4267,83.5858,675.72534,87.77379,632.3886,117.886795,711.52527,128.83676,616.5549,196.14134,702.81134,203.97379,580.64404,187.07324,644.57544,195.5617,657.4691,282.97623,719.5766,285.8815,585.4356,420.36267,739.5755,432.17178,586.07886,547.8771,778.0975,554.25476,0.67632574
620.0248,101.12064,621.7036,89.10418,619.0843,92.474915,639.27216,84.2043,673.2845,87.58772,633.04504,119.06534,706.11426,125.61581,607.7699,202.4219,685.21814,197.27045,580.1989,178.31342,619.57983,175.69205,660.13464,281.7662,722.4113,283.3464,591.8768,422.5731,741.46515,428.41522,578.5093,547.3811,777.78735,553.159,0.69358015
617.7234,101.991035,619.2836,90.219734,616.81537,93.017944,634.6992,86.88308,669.22424,88.295845,629.85315,122.66377,701.1328,125.71069,596.2815,205.67432,678.78766,194.43523,575.28094,167.60014,615.97534,166.65001,659.97864,282.92694,721.85504,282.5716,601.23566,422.31067,743.1862,428.56415,575.2451,538.7287,776.7008,552.13403,0.694437
746.13684,83.22973,751.5785,67.66414,741.561,72.66574,784.9189,60.08628,776.2093,71.15898,824.1979,98.53288,820.75696,117.95054,836.6242,188.78232,808.0566,223.96591,741.61084,161.52538,742.65405,183.88434,846.96796,283.5682,883.6512,282.91293,757.53436,439.0908,899.3984,432.90018,760.01624,561.0627,942.30743,551.50696,0.69011974
737.8266,85.87924,743.2238,71.10901,733.8797,75.71362,777.9401,63.13011,770.5626,74.261795,811.6468,101.46154,816.22375,118.40144,811.4277,193.81525,787.7988,223.50441,733.61273,153.51639,727.3313,175.37129,837.9191,285.6494,877.71765,285.09668,759.3069,437.2946,899.6218,436.97034,736.992,561.52826,940.8795,554.5888,0.70174396
