nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,pose_score
419.8906,171.13248,423.21762,164.26917,412.90262,163.63884,425.11816,168.42096,394.60773,165.7813,427.38553,200.44965,358.59747,192.73834,462.06647,234.71947,374.6896,232.1737,445.76004,181.30832,397.33154,176.05055,412.49612,315.81143,363.94357,315.00226,434.11185,392.20178,324.61517,391.15753,432.4838,448.05017,291.95132,467.89816,0.7135381
419.24033,170.90834,422.4988,163.9481,414.71484,162.68973,421.05273,165.90733,396.6618,163.79178,428.66223,199.57625,359.13184,191.35257,461.24457,234.96074,374.53668,231.59987,446.87213,179.44907,396.7663,179.59839,413.64954,319.69568,361.5908,316.13126,434.03476,394.1038,326.03537,391.9209,432.14056,450.78357,293.97327,469.8401,0.76229674
407.72153,170.2813,411.6318,163.61902,400.59036,162.82439,413.8591,167.54408,384.66858,164.41031,421.33194,197.28757,349.9023,191.9037,455.4713,233.91637,367.53796,231.94876,435.76956,180.73933,391.27216,179.9789,406.47708,313.02194,356.9984,312.5278,429.24225,389.41046,321.64496,389.19797,432.51675,445.95575,290.2087,469.10687,0.7083123
393.33633,165.98296,398.338,157.47278,386.77246,156.85086,403.14484,161.56224,370.1192,157.67154,406.64514,194.58635,337.6059,189.87016,443.77252,230.92606,355.89517,230.40755,422.7967,178.59834,379.2591,179.14041,396.01508,311.54858,346.14966,311.90176,423.74585,386.12094,312.235,388.95932,430.89114,442.6394,288.27603,469.26526,0.7088717
390.55304,165.45993,395.41147,157.65582,386.43774,156.3527,398.26193,159.32277,370.9161,156.37744,409.29294,193.00443,338.98492,187.44594,443.4997,230.28339,356.13934,230.27312,424.2469,178.46945,377.2647,180.84799,398.66364,316.82043,345.41858,313.4808,423.66275,388.12958,313.6204,389.75003,430.424,443.87433,289.92078,468.94598,0.74291563
370.6784,172.58386,374.4642,164.10602,363.5854,164.62706,377.52945,165.90286,346.10843,165.09497,388.20694,196.64362,312.34543,196.44371,428.37842,229.70232,337.06924,238.92299,406.58304,180.08453,357.62045,184.9011,382.32956,313.22763,329.07895,316.92322,419.81284,388.03937,300.04282,394.0486,422.32794,439.82446,283.3788,473.5952,0.7090948
361.88745,170.11226,365.51144,162.22815,354.42926,162.64923,369.54916,165.20859,338.57422,166.69202,379.92828,195.27148,306.24887,200.15335,422.75638,229.845,328.7381,244.00258,399.94165,181.71472,349.78552,191.51543,377.3057,314.2701,323.91132,318.22452,417.83334,387.77142,295.60825,399.34067,416.04907,439.05002,281.03027,475.07452,0.7082082
355.36694,175.25787,359.6435,166.98744,347.36652,167.81818,363.82883,165.4348,329.60413,168.82059,375.2658,194.98079,300.3254,201.07266,418.50943,229.87534,323.27274,247.22423,396.64902,183.72382,344.1206,195.76808,375.21188,314.63358,322.2426,318.7554,414.43674,385.96893,294.89133,399.8872,410.7018,442.3556,281.26282,473.80646,0.70791745
349.51038,169.08096,353.7396,160.72815,341.98816,161.45273,356.59668,159.34445,324.27747,163.12625,368.9437,190.63643,293.68875,199.21295,411.37418,226.94983,325.99948,249.5996,391.0244,182.78171,339.4705,197.28146,372.92133,308.775,319.4401,315.9505,412.7169,381.07736,296.83566,400.16672,401.6628,448.58646,281.64343,473.94998,0.7070999
349.50702,169.10799,353.72562,160.7008,342.0403,161.45111,356.5873,159.28549,324.28854,163.11853,368.93686,190.63887,293.7225,199.20796,411.35306,226.9644,325.99503,249.61235,391.00552,182.79242,339.47156,197.29202,372.91278,308.78223,319.42844,315.9337,412.71783,381.09042,296.84747,400.11844,401.66135,448.60184,281.6706,474.02975,0.7071004
347.71292,164.60378,351.5573,155.96878,340.3135,156.78835,353.3412,153.52048,322.39682,157.5931,363.62955,184.79689,289.51196,194.53905,400.3243,221.81729,318.0566,249.01888,390.2024,180.56291,344.89166,197.97725,368.39822,301.51685,316.2675,308.61008,404.3017,376.3578,301.02548,394.1432,402.61328,471.0101,281.76306,473.3838,0.7067342
354.3115,168.23402,356.95062,159.51111,347.14642,160.63895,356.19617,155.0798,327.43857,159.37802,360.28268,184.99416,290.35355,195.82494,393.95056,225.29514,315.81863,253.69736,393.86188,193.10489,350.03812,204.72455,366.58047,303.2213,316.28583,310.50778,400.07755,378.0217,301.24472,397.12482,408.22726,476.7524,281.381,473.26337,0.70770496
358.50922,170.58734,361.60928,161.79892,351.2197,162.84082,360.88815,156.76688,329.52542,159.93893,359.0231,186.84671,291.09772,197.38266,385.2928,230.28792,312.58853,256.9454,394.2678,207.9797,354.53662,214.8118,364.55032,306.66895,314.81302,313.59543,396.20245,385.7212,300.55185,399.55695,415.17877,481.21335,281.25748,474.67133,0.7108016
